employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
"Chevron Mining, Inc. McKinley Mine","Feb 08, 2012",103,WARN,,,,,6,https://www.azjobconnection.gov/search/warn_lookups/6
Schuff Steel Company,"Feb 24, 2012",89,WARN,,,7 - ARIZONA@WORK - Maricopa County,,7,https://www.azjobconnection.gov/search/warn_lookups/7
SCAN Health Plan Arizona,"Feb 29, 2012",64,WARN,,,7 - ARIZONA@WORK - Maricopa County,,8,https://www.azjobconnection.gov/search/warn_lookups/8
Armor Works,"Mar 12, 2012",124,WARN,,,7 - ARIZONA@WORK - Maricopa County,,9,https://www.azjobconnection.gov/search/warn_lookups/9
The Great Indoors  #1901,"Apr 18, 2012",75,WARN,,,7 - ARIZONA@WORK - Maricopa County,,10,https://www.azjobconnection.gov/search/warn_lookups/10
The Great Indoors #1913,"Apr 18, 2012",61,WARN,,,7 - ARIZONA@WORK - Maricopa County,,11,https://www.azjobconnection.gov/search/warn_lookups/11
"American Airlines, Inc.","May 01, 2012",550,WARN,,,6 - ARIZONA@WORK - Pima,,40,https://www.azjobconnection.gov/search/warn_lookups/40
Covance Laboratories Inc.,"May 02, 2012",133,WARN,,,7 - ARIZONA@WORK - Maricopa County,,63,https://www.azjobconnection.gov/search/warn_lookups/63
MetLife,"May 01, 2012",64,WARN,,,7 - ARIZONA@WORK - Maricopa County,,64,https://www.azjobconnection.gov/search/warn_lookups/64
"O.P.E.N. America, Inc. dba: OpenWorks","May 01, 2012",144,WARN,,,7 - ARIZONA@WORK - Maricopa County,,65,https://www.azjobconnection.gov/search/warn_lookups/65
"Hostess Brands, Inc.","May 04, 2012",2,WARN,,,1 - ARIZONA@WORK - Southeastern Arizona,,66,https://www.azjobconnection.gov/search/warn_lookups/66
Hostess Brand Inc.,"May 04, 2012",9,WARN,,,,,67,https://www.azjobconnection.gov/search/warn_lookups/67
"Hostess Brands, Inc.","May 04, 2012",1,WARN,,,,,70,https://www.azjobconnection.gov/search/warn_lookups/70
"Hostess Brands, Inc.","May 04, 2012",2,WARN,,,7 - ARIZONA@WORK - Maricopa County,,71,https://www.azjobconnection.gov/search/warn_lookups/71
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK - Maricopa County,,72,https://www.azjobconnection.gov/search/warn_lookups/72
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK - Maricopa County,,73,https://www.azjobconnection.gov/search/warn_lookups/73
"Hostess Brand, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK - Maricopa County,,74,https://www.azjobconnection.gov/search/warn_lookups/74
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,7 - ARIZONA@WORK - Maricopa County,,75,https://www.azjobconnection.gov/search/warn_lookups/75
"Hostess Brands, Inc.","May 04, 2012",7,WARN,,,,,76,https://www.azjobconnection.gov/search/warn_lookups/76
"Hostess Brand, Inc.","May 04, 2012",5,WARN,,,,,77,https://www.azjobconnection.gov/search/warn_lookups/77
"Hostess Brands, Inc.","May 04, 2012",6,WARN,,,,,78,https://www.azjobconnection.gov/search/warn_lookups/78
"Hostess Brands, Inc.","May 04, 2012",,WARN,,,,,79,https://www.azjobconnection.gov/search/warn_lookups/79
